set of enemies  ,run id,gen,champ.fitness,champ.gain,champ.wins,train_mean.wins,train_mean.fitness,train_mean.gain,genotype.dist,p.mutate
2 5 6 8,01:56,0,0,0,0,0.283333,-3.976593,-299.155,0.352447,0.35
2 5 6 8,01:56,1,48.507588,65.4,3.0,1.375,5.156529,-131.52,0.300539,0.35
2 5 6 8,01:56,2,48.507588,65.4,3.0,1.858333,8.608198,-78.465,0.268126,0.35
2 5 6 8,01:56,3,49.266325,91.8,3.0,2.075,18.224448,-26.658333,0.254094,0.35
2 5 6 8,01:56,4,49.266325,91.8,3.0,2.191667,24.441154,6.063333,0.215996,0.35
2 5 6 8,01:56,5,73.465761,140.6,3.0,2.366667,32.392412,28.295,0.207431,0.35
2 5 6 8,01:56,6,73.465761,140.6,3.0,2.558333,38.468947,45.9,0.190744,0.35
2 5 6 8,01:56,7,73.465761,140.6,3.0,2.891667,43.133625,59.798333,0.183507,0.35
2 5 6 8,01:56,8,73.465761,140.6,3.0,3.0,46.953358,75.481667,0.17539,0.35
2 5 6 8,01:56,9,73.465761,140.6,3.0,3.0,50.964242,87.01,0.164622,0.35
2 5 6 8,01:56,10,73.465761,140.6,3.0,3.0,53.387586,93.28,0.160484,0.35
2 5 6 8,01:56,11,73.465761,140.6,3.0,3.0,55.871724,97.966667,0.154457,0.35
2 5 6 8,01:56,12,73.465761,140.6,3.0,3.0,57.391843,100.793333,0.152636,0.35
2 5 6 8,01:56,13,49.71595,156.0,3.0,3.0,59.063946,104.45,0.149862,0.35
2 5 6 8,01:56,14,49.71595,156.0,3.0,3.0,60.59942,107.945,0.147061,0.35
2 5 6 8,01:56,15,49.71595,156.0,3.0,3.0,61.696461,109.006667,0.144328,0.35
2 5 6 8,01:56,16,49.71595,156.0,3.0,3.0,63.180897,110.546667,0.139954,0.35
2 5 6 8,01:56,17,86.566494,198.4,4.0,3.008333,64.469837,114.101667,0.139499,0.35
2 5 6 8,01:56,18,86.566494,198.4,4.0,3.008333,66.67664,118.248333,0.137371,0.35
2 5 6 8,01:56,19,86.566494,198.4,4.0,3.016667,67.971791,119.86,0.135833,0.35
2 5 6 8,01:56,20,86.566494,198.4,4.0,3.033333,69.957734,122.16,0.134835,0.35
2 5 6 8,01:56,21,86.566494,198.4,4.0,3.033333,70.363187,123.235,0.134794,0.35
2 5 6 8,01:56,22,86.566494,198.4,4.0,3.033333,70.717639,124.418333,0.134267,0.35
2 5 6 8,01:56,23,86.566494,198.4,4.0,3.058333,71.74818,126.185,0.133805,0.35
2 5 6 8,01:56,24,86.566494,198.4,4.0,3.083333,72.902336,127.873333,0.132272,0.35
2 5 6 8,01:56,25,86.566494,198.4,4.0,3.1,73.365671,129.165,0.132139,0.35
2 5 6 8,01:56,26,86.566494,198.4,4.0,3.108333,73.492557,130.37,0.132475,0.35
2 5 6 8,01:56,27,86.566494,198.4,4.0,3.116667,73.642059,130.761667,0.132063,0.35
2 5 6 8,01:56,28,86.566494,198.4,4.0,3.125,73.708332,131.435,0.132146,0.35
2 5 6 8,01:56,29,86.566494,198.4,4.0,3.141667,73.9155,132.771667,0.131665,0.35
2 5 6 8,01:56,30,86.566494,198.4,4.0,3.15,72.730053,134.188333,0.133101,0.5
2 5 6 8,01:56,31,86.566494,198.4,4.0,3.15,72.735704,134.995,0.133635,0.5
2 5 6 8,01:56,32,86.566494,198.4,4.0,3.15,72.387537,135.456667,0.133865,0.5
2 5 6 8,01:56,33,86.566494,198.4,4.0,3.15,72.436343,136.343333,0.133842,0.5
2 5 6 8,01:56,34,86.566494,198.4,4.0,3.158333,73.178226,136.936667,0.134174,0.5
2 5 6 8,01:56,35,86.566494,198.4,4.0,3.183333,74.26244,137.711667,0.133991,0.5
2 5 6 8,01:56,36,86.566494,198.4,4.0,3.183333,74.798072,137.848333,0.134208,0.5
2 5 6 8,01:56,37,86.566494,198.4,4.0,3.2,75.392043,138.37,0.134211,0.5
2 5 6 8,01:56,38,86.566494,198.4,4.0,3.216667,75.638085,138.825,0.134766,0.5
2 5 6 8,01:56,39,86.566494,198.4,4.0,3.225,75.398835,139.348333,0.135425,0.5
2 5 6 8,01:56,40,86.566494,198.4,4.0,3.241667,75.494041,139.636667,0.135703,0.65
2 5 6 8,01:56,41,86.566494,198.4,4.0,3.25,75.204323,140.221667,0.136771,0.65
2 5 6 8,01:56,42,86.566494,198.4,4.0,3.258333,75.013329,140.741667,0.137108,0.65
2 5 6 8,01:56,43,86.566494,198.4,4.0,3.266667,74.675579,141.291667,0.137562,0.65
2 5 6 8,01:56,44,86.566494,198.4,4.0,3.266667,74.684266,141.396667,0.137553,0.65
2 5 6 8,01:56,45,86.566494,198.4,4.0,3.266667,74.147117,141.955,0.137716,0.65
2 5 6 8,01:56,46,86.566494,198.4,4.0,3.266667,73.763922,142.558333,0.138034,0.65
2 5 6 8,01:56,47,86.566494,198.4,4.0,3.275,73.712472,142.996667,0.138142,0.65
2 5 6 8,01:56,48,86.566494,198.4,4.0,3.291667,73.466059,143.636667,0.138392,0.65
2 5 6 8,01:56,49,86.566494,198.4,4.0,3.3,72.887273,144.563333,0.138818,0.65
2 5 6 8,01:56,50,86.566494,198.4,4.0,3.3,72.742294,144.616667,0.139524,0.65
2 5 6 8,01:56,51,86.566494,198.4,4.0,3.3,72.742179,144.723333,0.140066,0.65
2 5 6 8,01:56,52,86.566494,198.4,4.0,3.3,72.742179,144.723333,0.140066,0.65
2 5 6 8,01:56,53,86.566494,198.4,4.0,3.3,72.355129,145.061667,0.141576,0.65
2 5 6 8,01:56,54,87.021319,220.8,4.0,3.316667,72.558578,145.988333,0.142911,0.65
2 5 6 8,01:56,55,87.021319,220.8,4.0,3.316667,72.514452,146.365,0.144454,0.65
2 5 6 8,01:56,56,87.021319,220.8,4.0,3.325,72.563242,146.536667,0.144748,0.65
2 5 6 8,01:56,57,87.021319,220.8,4.0,3.325,72.660557,146.831667,0.147054,0.65
2 5 6 8,01:56,58,87.021319,220.8,4.0,3.325,72.566758,147.225,0.147811,0.65
2 5 6 8,01:56,59,87.021319,220.8,4.0,3.341667,72.961008,147.705,0.148667,0.65
2 5 6 8,01:56,60,87.021319,220.8,4.0,3.375,73.205282,148.835,0.148211,0.35
2 5 6 8,01:56,61,87.021319,220.8,4.0,3.408333,73.687153,149.386667,0.14781,0.35
2 5 6 8,01:56,62,87.021319,220.8,4.0,3.425,74.180303,149.758333,0.147885,0.35
2 5 6 8,01:56,63,87.337813,229.6,4.0,3.458333,74.289573,151.356667,0.145449,0.35
2 5 6 8,01:56,64,87.337813,229.6,4.0,3.475,74.479435,151.66,0.145313,0.35
2 5 6 8,01:56,65,87.337813,229.6,4.0,3.5,75.114629,152.395,0.145514,0.35
2 5 6 8,01:56,66,87.337813,229.6,4.0,3.525,75.458649,152.991667,0.145357,0.35
2 5 6 8,01:56,67,87.337813,229.6,4.0,3.525,75.613663,153.575,0.145597,0.35
2 5 6 8,01:56,68,87.337813,229.6,4.0,3.541667,76.053029,153.955,0.145132,0.35
2 5 6 8,01:56,69,87.337813,229.6,4.0,3.566667,76.441473,154.131667,0.144934,0.35
2 5 6 8,01:56,70,87.337813,229.6,4.0,3.6,77.12476,154.625,0.14463,0.35
2 5 6 8,01:56,71,87.337813,229.6,4.0,3.625,77.660998,154.926667,0.142892,0.35
2 5 6 8,01:56,72,87.337813,229.6,4.0,3.633333,77.900524,155.106667,0.14271,0.35
2 5 6 8,01:56,73,87.337813,229.6,4.0,3.65,78.34184,155.168333,0.142496,0.35
2 5 6 8,01:56,74,87.337813,229.6,4.0,3.658333,78.838077,155.475,0.140956,0.35
2 5 6 8,01:56,75,87.337813,229.6,4.0,3.675,78.972383,155.496667,0.140109,0.35
2 5 6 8,01:56,76,87.337813,229.6,4.0,3.7,79.551662,155.461667,0.138925,0.5
2 5 6 8,01:56,77,87.337813,229.6,4.0,3.708333,79.850868,155.8,0.139464,0.5
2 5 6 8,01:56,78,87.337813,229.6,4.0,3.725,80.235382,155.733333,0.139703,0.5
2 5 6 8,01:56,79,87.337813,229.6,4.0,3.766667,81.057448,155.641667,0.138925,0.5
2 5 6 8,01:56,80,87.337813,229.6,4.0,3.775,81.101058,155.58,0.138519,0.5
2 5 6 8,01:56,81,87.337813,229.6,4.0,3.791667,81.586363,155.48,0.138898,0.5
