set of enemies,enemy_weights,run id,gen,train_max.fitness,train_mean.fitness,train_min.fitness,train_std.fitness,train_max.gain,train_mean.gain,train_min.gain,train_std.gain,test_max.fitness,test_mean.fitness,test_min.fitness,test_std.fitness,test_max.gain,test_mean.gain,test_min.gain,test_std.gain
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,0,13.817364,-5.523764,-24.862581,6.514172,-24.560815,-92.865581,-119.461009,29.162195,13.817364,-5.523764,-24.862581,6.514172,-24.560815,-92.865581,-119.461009,29.162195
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,1,18.957544,-1.244981,-6.342572,8.088926,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,2,22.969367,4.238613,-5.991441,9.225815,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,3,27.145617,10.733782,0.33386,6.207122,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,4,28.447749,15.785188,13.746483,4.015143,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,5,28.447749,16.357383,13.801356,4.416301,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,6,32.320677,17.768316,13.801356,4.92668,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,7,32.320677,21.19148,15.335771,4.142551,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,8,32.320677,23.349882,18.743065,3.216784,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,9,38.550103,25.717182,21.522754,3.44733,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,10,38.550103,26.436949,22.829885,3.170044,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,11,38.550103,27.360082,23.696136,2.784096,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,12,38.550103,28.353342,24.555174,3.056149,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,13,38.550103,29.378853,25.556528,3.3445,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,14,38.550103,29.99489,26.139689,3.395814,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,15,38.550103,30.221025,26.186479,3.315824,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,16,38.550103,30.599763,26.894619,3.183633,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,17,38.550103,30.991347,27.462966,2.946518,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,18,38.550103,31.1147,27.992802,2.847848,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,19,38.550103,31.203739,28.363147,2.772825,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,20,40.86935,31.550227,28.447749,3.091857,-24.560815,-92.865581,-119.461009,29.162195,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,47:11,validation,0,0.0,0,0.0,0,0.0,0,0.0,40.86935,31.550227,28.447749,3.091857,8.266078,-3.542743,-13.683378,5.246207
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,0,17.694756,-5.000633,-14.939782,5.71045,-17.40956,-83.563788,-118.59699,33.591852,17.694756,-5.000633,-14.939782,5.71045,-17.40956,-83.563788,-118.59699,33.591852
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,1,18.843973,-0.89191,-6.382612,7.483057,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,2,18.843973,3.621976,-3.690215,7.613815,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,3,18.843973,8.938419,0.868663,6.021172,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,4,22.687051,13.454981,6.647859,3.904696,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,5,26.490011,16.308208,13.785702,3.224525,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,6,26.490011,16.990596,13.811952,2.948778,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,7,26.490011,17.769012,13.949004,2.695258,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,8,27.690533,18.631837,15.459566,2.892152,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,9,29.026771,20.050089,16.350587,3.260456,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,10,32.128232,21.671507,17.694756,3.607609,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,11,32.128232,22.707698,18.568409,3.66769,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,12,32.128232,24.362434,20.399001,3.326462,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,13,32.128232,25.067499,21.409645,2.835469,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,14,32.128232,25.804271,23.038817,2.617996,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,15,32.128232,26.372746,23.236784,2.518138,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,16,32.128232,26.952711,24.075505,2.374965,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,17,32.128232,27.180248,24.417728,2.225936,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,18,32.128232,27.529443,25.033277,2.15259,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,19,32.128232,28.102119,25.230144,1.973634,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,20,32.128232,28.316021,25.942071,1.834105,-17.40956,-83.563788,-118.59699,33.591852,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,53:14,validation,0,0.0,0,0.0,0,0.0,0,0.0,32.128232,28.316021,25.942071,1.834105,7.998304,-9.047957,-19.761484,6.774353
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,59:45,0,14.196333,-6.51304,-17.089622,4.413478,-20.162589,-95.547035,-120.571891,27.20309,14.196333,-6.51304,-17.089622,4.413478,-20.162589,-95.547035,-120.571891,27.20309
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,59:45,1,27.733653,-2.319554,-6.382612,7.184915,-20.162589,-95.547035,-120.571891,27.20309,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,59:45,2,27.733653,0.404067,-5.991441,7.846692,-20.162589,-95.547035,-120.571891,27.20309,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,59:45,3,27.733653,5.037092,-3.63489,7.039028,-20.162589,-95.547035,-120.571891,27.20309,0,0.0,0,0.0,0,0.0,0,0.0
